MasterFile,AgencyORINumber,LocalCode,CollisionDate,CollisionTime,CollisionDayWeekCode,RoadwayName,RoadwayName_Direction_,RoadwayName_RoadwaySuffix_,RoadwayfromReport,CurrentRoadwayNumber,RoadwayNumberCoupletID,RSEUniqueGIS,RoadwayIdentifier,ParkingLotIndicator,IntersectionWith_Indicator_,IntersectionWith_NameRoadway_,IntersectionWith_Direction_,IntersectionWith_RoadwaySuffix_,BetweenStreets_Indicator_,BetweenStreets1_NameRoadway_,BetweenStreet1_Direction_,BetweenStreets1_RoadwaySuffix_,BetweenStreets2_NameRoadway_,BetweenStreets2_Direction_,BetweenStreets2_RoadwaySuffix_,Milepoint,ReportMilepointDeriveNumber,CurrentDerivedMiepointNumber,MilestoMilepoint,FeettoMilepoint,DirectionfromMilepoint_NSEW_,ValidMilepointIndicator,NumberInjured,NumberKilled,ofUnits,ofMotorVehicleUnits,Hit&RunIndicator,OneWayIndicator,SpeedLimitNumber,KilometersIndicator,CountyCode,CityCountyCode,MilesFromCity,DirectionFromCity_NSEW_,InCityLimitsIndicator,Latitude,Longitude,RampIndicator,RampFromIdentifier,RampFromDirCode,RampFromCoupletID,RSEUniqueGISRampFrom,RampToidentifier,RampToDirCode,RampToCoupletID,RSEUniqueGisRampTo,MannerofCollisionCode,LocationFirstEventCode,TotalLanes,RoadwayCharacterCode,RoadwaySurfaceCode,RoadwayConditionCode,WeatherCode,LightConditionCode,LandUseCode,SchoolBusRelatedCode,FirstAidSceneIndicator,CollDescPresentInd,InvestigationCompleteIndicator,PhotosTakenIndicator,TimeNotified,TimeArrived,TimeRoadwayOpened,PropertyDamageIndicator,DiagramPresentIndicator,DirectionalAnalysis,FunctionClassCode,NationalHwySysCode,EnforcementsIndicator,KARSCityCode,SecondaryCollisionIndicator,MedianCrossoverIndicator,RT_UNIQUE,MapIt,TimeLastLeft,YR,KABCO,MFNY,WorkingRID,RT_CONFIDENCE,KTC_RT,KTC_MP,Motorcyclist,CommercialVehicle,YoungDriver,MatureDriver,pedestrian,Bicyclist,Distracted,agressive,Impaired,Unrestrained,Intersection,RoadwayDeparture,MedXover
72341195,KSP0900,19-12989,20190415,758,,DORTON-JENKINS,,HWY,KY0805,KY0805,0,098 KY-805,KY0805,N,N,NULL,NULL,NULL,N,NULL,NULL,NULL,NULL,NULL,NULL,0.942,NULL,NULL,NULL,NULL,,NULL,1,0,1,1,N,N,55,NULL,98,9867,NULL,,Y,37.21151,-82.56407,N,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,9,97,2,3,1,5,6,2,7,3,N,NULL,Y,Y,802,831,802,Y,NULL,40,7,0,N,,N,N,098-KY-0805-0,NULL,NULL,2019,C,7.23E+11,098-KY-0805  -000,HIGH,098-KY-0805  -000,0.942,0,0,0,0,0,0,0,0,0,0,0,1,0
72330947,980100,2.02E+11,20190325,646,,US23,,,US0023,US0023,0,098 US-23,US0023,N,N,NULL,NULL,NULL,N,NULL,NULL,NULL,NULL,NULL,NULL,31.663,NULL,NULL,NULL,NULL,,NULL,0,0,1,1,N,N,55,NULL,98,9801,NULL,,Y,37.53714,-82.6027,N,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,9,3,4,6,1,1,3,6,1,3,N,NULL,Y,N,646,700,,N,NULL,38,,1,N,,N,N,098-US-0023-0,NULL,NULL,2019,O,7.23E+11,098-US-0023  -000,HIGH,098-US-0023  -000,31.663,0,0,0,0,0,0,0,0,0,0,0,0,0
72300067,KSP0900,19-708,20190106,2221,,FERRELLS CREEK,,RD,US0460,US0460,0,098 US-460,US0460,N,N,NULL,NULL,NULL,N,NULL,NULL,NULL,NULL,NULL,NULL,20.772,NULL,NULL,NULL,NULL,,NULL,0,0,1,1,N,N,55,NULL,98,9847,21,E,N,37.37478,-82.28092,N,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,9,3,2,5,1,1,3,6,7,3,N,NULL,Y,Y,2223,2307,2307,N,NULL,70,,1,N,,N,N,098-US-0460-0,NULL,NULL,2019,O,7.23E+11,098-US-0460  -000,HIGH,098-US-0460  -000,20.772,0,0,0,0,0,0,0,0,0,0,0,0,0
72317659,KSP0900,19-4930,20190214,1227,,KY632,,,KY0632,KY0632,0,098 KY-632,KY0632,N,N,NULL,NULL,NULL,N,NULL,NULL,NULL,NULL,NULL,NULL,7.146,NULL,NULL,NULL,NULL,,NULL,0,0,1,1,N,N,55,NULL,98,9809,NULL,,Y,37.49129,-82.24344,N,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,9,3,2,6,1,1,2,2,7,3,N,NULL,Y,N,1227,1331,1335,N,NULL,40,6,0,N,,N,N,098-KY-0632-0,NULL,NULL,2019,O,7.23E+11,098-KY-0632  -000,HIGH,098-KY-0632  -000,7.146,0,0,0,0,0,0,0,0,0,0,0,1,0
72315867,980100,2.02E+11,20190207,1248,,HAROLDS BRANCH,,RD,,,0,098 CS-1223,CS1223,Y,N,NULL,NULL,NULL,N,NULL,NULL,NULL,NULL,NULL,NULL,0.038,NULL,NULL,NULL,NULL,,NULL,0,0,2,2,Y,N,15,NULL,98,9801,NULL,,Y,37.47238,-82.52232,N,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,3,1,6,2,1,2,2,1,3,N,NULL,Y,N,1248,1252,,N,NULL,90,,,N,,N,N,098-CS-1223-0,NULL,NULL,2019,NULL,7.23E+11,098-CS-1223  -000,HIGH,098-CS-1223  -000,0.038,0,0,0,0,0,0,0,0,0,0,0,0,0
72319526,980100,2.02E+11,20190223,1735,,CASSIDY,,BLVD,,,,,,N,N,NULL,NULL,NULL,N,NULL,NULL,NULL,NULL,NULL,NULL,0.267,NULL,NULL,NULL,NULL,,NULL,0,0,3,3,N,N,35,NULL,98,9801,NULL,,Y,37.50471,-82.53622,N,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,3,2,6,1,5,6,2,1,2,N,NULL,Y,N,1726,1731,1806,N,NULL,55,,,N,,N,N,,NULL,NULL,2019,O,7.23E+11,098-CS-1191  -000,MEDIUM,098-CS-1191  -000,0.267,0,0,1,1,0,0,0,0,0,0,0,0,0
72445275,KSP0900,19-47259,20191202,1758,,UPPER CHLOE,,RD,,,0,098 CR-1309,CR1309,N,N,NULL,NULL,NULL,N,NULL,NULL,NULL,NULL,NULL,NULL,0.514,NULL,NULL,NULL,NULL,,NULL,0,0,1,1,N,N,35,NULL,98,9801,NULL,,Y,37.45605,-82.47009,N,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,9,3,2,3,1,5,6,6,6,3,N,NULL,Y,N,1758,1854,1941,Y,NULL,40,,,Y,,N,N,098-CR-1309-0,NULL,NULL,2019,O,7.24E+11,098-CR-1309  -000,HIGH,098-CR-1309  -000,0.514,0,0,0,0,0,0,0,0,0,0,0,1,0
72317748,KSP0900,19-5353,20190218,1334,,US23,,,US0023,US0023,0,098 US-23,US0023,N,N,NULL,NULL,NULL,N,NULL,NULL,NULL,NULL,NULL,NULL,31.531,NULL,NULL,NULL,NULL,,NULL,0,0,2,2,N,N,55,NULL,98,9801,NULL,,Y,37.53678,-82.60033,N,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,5,3,4,6,1,1,2,2,7,3,N,NULL,Y,N,1334,1334,1430,N,NULL,49,,1,N,,N,N,098-US-0023-0,NULL,NULL,2019,O,7.23E+11,098-US-0023  -000,HIGH,098-US-0023  -000,31.531,0,0,0,0,0,0,0,1,0,0,0,0,0
72751364,KSP0900,22-135979,20220414,2141,,US23,,,US0023,US0023,0,098 US-23,US0023,N,N,NULL,NULL,NULL,N,NULL,NULL,NULL,NULL,NULL,NULL,16.429,NULL,NULL,NULL,NULL,,NULL,8,0,2,2,N,N,55,NULL,98,9801,NULL,,Y,37.41559,-82.52988,N,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,3,4,5,1,1,2,6,7,1,N,NULL,Y,Y,2141,2141,2310,N,NULL,55,,1,N,,N,N,098-US-0023-0,NULL,NULL,2022,B,7.28E+11,098-US-0023  -000,HIGH,098-US-0023  -000,16.429,0,0,0,0,0,0,1,0,0,0,0,0,0
72446812,KSP0900,19-47553,20191205,10,,US119,,,US0119,US0119,0,098 US-119-10,US0119,N,N,NULL,NULL,NULL,N,NULL,NULL,NULL,NULL,NULL,NULL,20.317,NULL,NULL,NULL,NULL,,NULL,1,0,1,1,N,N,55,NULL,98,9836,NULL,,Y,37.61509,-82.2747,N,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,9,6,2,3,1,1,2,6,7,3,Y,NULL,Y,Y,10,17,56,Y,NULL,40,2,1,N,,N,N,098-US-0119-10,NULL,NULL,2019,C,7.24E+11,098-US-0119  -010,HIGH,098-US-0119  -000,20.317,0,0,0,0,0,0,0,0,0,0,0,1,0
